time,theta_apparent,lo,hi,n,sides,rest,theta,theta_ema
4.5,56.57907514078919,13.478391633408476,48.92785914694029,13,2,0,48.927859146940285,48.927859146940285
7.5,60.133615939066694,20.310078959784565,51.070830158343185,19,2,0,51.56153830877212,49.805752200884235
10.5,64.01931089557318,15.922363098544896,53.66176145497771,19,2,0,54.2875268979088,51.29967709989243
13.5,38.58851190230604,3.0860640471756753,45.39170725106949,7,2,0,34.28910229913845,45.629485499641106
16.5,44.31373590287023,3.6985894423479735,37.765690332545645,6,2,0,39.12310697884462,43.46069265937561
19.5,44.49036897187798,9.790552149224794,40.933218142286385,5,2,0,39.27018650817434,42.06385727564186
22.5,64.09098681470829,11.807281638377319,53.74487052259454,14,2,0,54.33607936457918,46.1545979719543
25.5,56.4159043333518,5.104858730418604,52.959499312555614,16,2,0,48.80419224746197,47.037796063790196
28.5,61.52512608928352,3.646638841534412,51.89233636630035,41,2,0,52.557899315558096,48.87783048104616
31.5,63.44323642501995,4.917163857585278,50.882035904584704,36,2,0,53.89487582111171,50.55017892773468
34.5,63.27776709682149,6.628954958573492,24.390109050060552,88,2,0,53.78130740892331,51.62722175479756
37.5,41.03978178817897,8.318671892768254,15.96848900873649,51,2,0,36.373691756916735,46.54271175550395
40.5,47.4134086351713,8.28693595010465,38.54893747143742,61,2,0,41.68327587994538,44.92289979698443
43.5,59.432575681476195,14.42976689807106,33.652649032356166,79,2,0,51.05178202566598,46.96586053987828
46.5,40.48417581088868,17.09809508630699,29.042032329332642,93,2,0,35.9030228506216,43.27824797679272
49.5,44.001017331013486,20.80856710471034,38.38208315730733,117,2,0,38.86237966313648,41.80629187224064
52.5,48.806176413819465,27.331013407923752,42.85052309416836,141,2,0,42.81804100318817,42.14354158255649
55.5,55.064327220864755,31.49583029711023,48.06977493273282,114,2,0,47.77136016911908,44.019481111410684
58.5,58.2771228794954,34.35473570367056,50.19463256619646,112,2,0,50.2009006252132,46.07995428267819
61.5,63.48465110055999,38.97410903416097,53.977766256576274,83,2,0,53.923246176127684,48.69438491382802
64.5,64.58265005511007,42.41788593761377,54.606970547318944,92,2,0,54.66728685484711,50.685352227501056
67.5,63.88190460622118,41.312505623554834,54.136530186103556,72,2,0,54.1942611555964,51.85498853686617
70.5,63.52953718116461,42.62324600298163,53.98721299031253,75,2,0,53.95396991001879,52.554648994583715
73.5,63.56952046075992,42.42778232194782,54.041583006817305,89,2,0,53.98131612303049,53.03020470406597
76.5,63.378245597893,40.15044372167665,53.62097163332498,92,2,0,53.85031119667094,53.3035735349343
79.5,61.62568777955646,37.32464492470383,52.82440112899654,71,2,0,52.629073121768634,53.07874006387908
82.5,62.94073535677806,33.6873174958737,53.60983762422062,72,2,0,53.54892767307365,53.23546926694394
85.5,62.98302505769605,40.08118859800677,54.09282642723728,59,2,0,53.5781633587511,53.34970063087966
88.5,55.86449114133867,4.6417021775515055,48.49884466879049,51,2,0,48.38462145962502,51.69467424046145
91.5,63.61589146006255,36.96103095249167,54.19613863519861,52,2,0,54.01300556011976,52.467451347014226
94.5,62.83821768762779,41.5532566525047,53.67550311630583,63,2,0,53.47796383418305,52.804288842737165
97.5,62.31722739719264,7.814236695635718,54.07749474937258,53,2,0,53.115354279802574,52.90797732175897
100.5,59.56845176159784,25.512831507443963,52.001488905952776,66,2,0,51.150975998657195,52.322310214058376
103.5,62.34582913639025,41.01182357601966,53.30030293159195,71,2,0,53.13534572882213,52.59332205231296
106.5,63.67901545885306,25.214523514960316,54.002981992717665,49,2,0,54.056099498670946,53.080914534432296
109.5,55.880769357267745,24.30173894733806,48.399749988410726,49,2,0,48.39704368760616,51.51962425215692
112.5,62.63740520830922,42.98439290765935,53.63941498449946,56,2,0,53.33858674108307,52.125945081798974
115.5,63.64027012461904,43.23537499300986,54.224367112708066,56,2,0,54.0296546240288,52.760514929208924
118.5,58.64851446856719,7.443926594785269,50.86344506309026,44,2,0,50.47580710312849,51.998945653848786
121.5,63.229415256440504,23.638846889035005,53.74805642093941,58,2,0,53.748056420939406,52.581982576212326
124.5,62.75553427351644,40.50551245475681,53.993074934480504,65,2,0,53.42063561709684,52.861533589840505
127.5,62.41068889815552,9.833385218891932,53.47028427498537,48,2,0,53.18064393297705,52.96790370421935
130.5,59.62394496570811,15.030660146617342,51.191434076429566,56,2,0,51.191434076429566,52.375747161622755
133.5,63.331998083465315,40.10038555183857,53.97737629134554,65,2,0,53.81856644573204,52.85668692299252
136.5,62.914527812372334,38.32896601730801,53.78380151167317,73,2,0,53.53079882391997,53.08139088996835
139.5,60.37977157730765,32.31437368486094,51.7393175342736,79,2,0,51.7393175342736,52.63403310473677
142.5,56.91994561621314,33.105174305638755,49.785465949128515,115,2,0,49.18546784225353,51.484511350575694
145.5,55.40654734254288,31.470313399898366,48.68236828519269,118,2,0,48.03427211290694,50.33443160468612
148.5,55.11170920042328,29.80281297635563,48.26982432978,121,2,0,47.807816725721906,49.49222664503138
151.5,63.42976311879776,21.802085210000296,52.64559439309382,104,2,0,53.88564148723108,50.95669825909795
154.5,61.32141887208941,11.407356063420819,52.965920331012946,75,2,0,52.41337169431245,51.44225607083612
157.5,63.55719270532586,13.365482733352023,54.292348583739106,86,2,0,53.97288684013,52.28579966060075
160.5,64.02189143061857,13.12124160416073,54.2892760950566,70,2,0,54.2892760950566,52.953625138752706
163.5,64.52614717154316,13.479388945474476,54.582510708710814,62,2,0,54.62938877267766,53.51221301672769
166.5,64.38493682304197,10.529240015485433,54.5073985848482,27,2,0,54.534486674056424,53.85297090250394
169.5,63.33993884914158,5.075937099225938,53.71442541413292,13,2,0,53.8240189856972,53.843320263568366
172.5,60.06041803867302,9.794880256481095,49.96905322726296,22,2,0,51.50855022707251,53.065063584736414
175.5,64.52372183703302,4.9042167877454155,54.25152979010838,24,2,0,54.627761065596246,53.585962745023025
178.5,63.35927757082953,7.064481366917697,53.20353830234691,19,2,0,53.83729462259112,53.66974003754573
181.5,64.32527543039969,19.423150841352765,54.642183184636615,14,2,0,54.494310085772405,53.94459672028796
184.5,62.21805635072003,9.926606015346302,52.08878610771497,21,2,0,53.045962533494034,53.64505199135666
187.5,62.78732430848602,23.919092824449564,53.61451834025964,35,2,0,53.44268699954425,53.57759699408586
190.5,61.822229374793835,10.878802813543771,53.17020461876045,28,2,0,52.76784377521859,53.30767925446344
193.5,64.46383477109494,18.11422620534837,54.72941454363726,35,2,0,54.58754406717439,53.73430085870042
196.5,57.6370754977066,4.9637376823304145,49.02219944301783,33,2,0,49.72410091663339,52.39756754467808
199.5,64.39751962939488,30.13406870529608,54.60097636772833,8,2,0,54.54295397749517,53.11269635561712
202.5,59.97859563227473,10.523118008818297,49.58884240922341,17,2,0,51.44925268507612,52.558215132103456
205.5,64.3375978566661,26.622454505745825,54.51994822928049,14,2,0,54.50261203395243,53.20634743271979
208.5,64.27423070450446,16.560539697246284,54.46080313505963,17,2,0,54.45989830333425,53.62419772292461
211.5,54.263083995906214,29.275575751961878,48.41854996422229,5,2,0,47.152241129130886,51.46687885832671
